time_s,fps,process_ms,nodes,objects,orphans,missions,trade_missions,ships,workers
377.4,60.0,18.91,50,1977,2,0,0,3,15
378.4,60.0,19.69,50,1977,2,0,0,3,15
379.4,60.0,18.56,50,1977,2,0,0,3,15
380.4,60.0,18.79,50,1977,2,0,0,3,15
381.4,60.0,18.57,50,1977,2,0,0,3,15
382.4,60.0,18.68,50,1977,2,0,0,3,15
383.4,60.0,18.38,50,1977,2,0,0,3,15
384.4,60.0,19.45,50,1977,2,0,0,3,15
385.4,60.0,17.97,50,1977,2,0,0,3,15
386.4,60.0,18.87,50,1977,2,0,0,3,15
387.4,60.0,18.70,50,1977,2,0,0,3,15
388.4,60.0,19.28,50,1977,2,0,0,3,15
389.4,60.0,20.64,50,1977,2,0,0,3,15
390.4,60.0,18.36,50,1977,2,0,0,3,15
391.4,60.0,18.72,50,1977,2,0,0,3,15
392.4,60.0,20.89,50,1977,2,0,0,3,15
393.4,60.0,23.00,50,1977,2,0,0,3,15
394.4,60.0,19.06,50,1977,2,0,0,3,15
395.4,60.0,18.53,50,1977,2,0,0,3,15
396.4,60.0,18.35,50,1977,2,0,0,3,15
397.4,60.0,18.75,50,1977,2,0,0,3,15
398.4,60.0,18.46,50,1977,2,0,0,3,15
399.4,60.0,18.60,50,1977,2,0,0,3,15
400.4,60.0,19.20,50,1977,2,0,0,3,15
401.4,60.0,18.14,50,1977,2,0,0,3,15
402.4,60.0,17.72,50,1977,2,0,0,3,15
403.4,60.0,18.09,50,1977,2,0,0,3,15
404.4,60.0,18.70,50,1977,2,0,0,3,15
405.4,60.0,18.68,50,1977,2,0,0,3,15
406.4,60.0,18.40,50,1977,2,0,0,3,15
407.4,60.0,20.44,50,1977,2,0,0,3,15
408.4,60.0,18.26,50,1977,2,0,0,3,15
409.4,60.0,18.76,50,1977,2,0,0,3,15
410.4,60.0,19.29,50,1977,2,0,0,3,15
411.4,60.0,18.57,50,1977,2,0,0,3,15
412.4,60.0,19.07,50,1977,2,0,0,3,15
413.4,60.0,19.04,50,1977,2,0,0,3,15
414.4,60.0,19.06,50,1977,2,0,0,3,15
415.4,60.0,18.93,50,1977,2,0,0,3,15
416.4,60.0,18.26,50,1977,2,0,0,3,15
417.4,60.0,18.71,50,1977,2,0,0,3,15
418.4,60.0,19.61,50,1977,2,0,0,3,15
419.4,60.0,18.76,50,1977,2,0,0,3,15
420.4,60.0,18.41,50,1977,2,0,0,3,15
421.4,60.0,18.18,50,1977,2,0,0,3,15
422.4,60.0,19.68,50,1977,2,0,0,3,15
423.4,60.0,18.45,50,1977,2,0,0,3,15
424.4,60.0,18.89,50,1977,2,0,0,3,15
425.4,60.0,18.76,50,1977,2,0,0,3,15
426.4,60.0,18.61,50,1977,2,0,0,3,15
427.4,60.0,18.62,50,1977,2,0,0,3,15
428.4,60.0,18.44,50,1977,2,0,0,3,15
429.4,60.0,18.17,50,1977,2,0,0,3,15
430.4,60.0,19.13,50,1977,2,0,0,3,15
431.4,60.0,18.05,50,1977,2,0,0,3,15
432.4,60.0,18.72,50,1977,2,0,0,3,15
433.4,60.0,18.50,50,1977,2,0,0,3,15
434.4,60.0,19.38,50,1977,2,0,0,3,15
435.4,60.0,18.78,50,1977,2,0,0,3,15
436.4,60.0,18.33,50,1977,2,0,0,3,15
437.4,60.0,18.78,50,1977,2,0,0,3,15
438.4,59.0,32.95,50,1977,2,0,0,3,15
439.4,59.0,32.73,50,1977,2,0,0,3,15
440.4,60.0,18.43,50,1977,2,0,0,3,15
441.4,60.0,18.43,50,1977,2,0,0,3,15
442.4,60.0,22.75,50,1977,2,0,0,3,15
443.4,59.0,32.83,50,1977,2,0,0,3,15
444.4,60.0,18.11,50,1977,2,0,0,3,15
445.4,60.0,18.81,50,1977,2,0,0,3,15
446.4,60.0,21.90,50,1977,2,0,0,3,15
447.4,59.0,30.07,50,1977,2,0,0,3,15
448.4,60.0,18.55,50,1977,2,0,0,3,15
449.4,60.0,18.47,50,1977,2,0,0,3,15
450.4,60.0,21.39,50,1977,2,0,0,3,15
451.5,59.0,32.94,50,1977,2,0,0,3,15
452.5,60.0,18.72,50,1977,2,0,0,3,15
453.5,60.0,18.52,50,1977,2,0,0,3,15
454.5,60.0,18.13,50,1977,2,0,0,3,15
455.5,60.0,18.20,50,1977,2,0,0,3,15
456.5,60.0,19.04,50,1977,2,0,0,3,15
457.5,60.0,18.97,50,1977,2,0,0,3,15
458.5,60.0,18.62,50,1977,2,0,0,3,15
459.5,60.0,20.43,50,1977,2,0,0,3,15
460.5,60.0,18.64,50,1977,2,0,0,3,15
461.5,60.0,18.29,50,1977,2,0,0,3,15
462.5,60.0,18.79,50,1977,2,0,0,3,15
463.5,60.0,18.75,50,1977,2,0,0,3,15
464.5,60.0,19.31,50,1977,2,0,0,3,15
465.5,60.0,18.55,50,1977,2,0,0,3,15
466.5,60.0,18.55,50,1977,2,0,0,3,15
467.5,60.0,19.08,50,1977,2,0,0,3,15
468.5,60.0,18.45,50,1977,2,0,0,3,15
469.5,60.0,18.38,50,1977,2,0,0,3,15
470.5,60.0,18.64,50,1977,2,0,0,3,15
471.5,60.0,18.62,50,1977,2,0,0,3,15
472.5,60.0,18.47,50,1977,2,0,0,3,15
473.5,60.0,19.16,50,1977,2,0,0,3,15
474.5,60.0,18.54,50,1977,2,0,0,3,15
475.5,60.0,18.59,50,1977,2,0,0,3,15
476.5,60.0,19.09,50,1977,2,0,0,3,15
477.5,60.0,18.43,50,1977,2,0,0,3,15
478.5,60.0,19.10,50,1977,2,0,0,3,15
479.5,60.0,18.35,50,1977,2,0,0,3,15
480.5,60.0,19.04,50,1977,2,0,0,3,15
481.5,60.0,18.18,50,1977,2,0,0,3,15
482.5,60.0,18.37,50,1977,2,0,0,3,15
483.5,60.0,18.50,50,1977,2,0,0,3,15
484.5,60.0,18.44,50,1977,2,0,0,3,15
485.5,60.0,18.49,50,1977,2,0,0,3,15
486.5,60.0,18.44,50,1977,2,0,0,3,15
487.5,60.0,18.17,50,1977,2,0,0,3,15
488.5,60.0,18.92,50,1977,2,0,0,3,15
489.5,60.0,18.28,50,1977,2,0,0,3,15
490.5,60.0,18.01,50,1977,2,0,0,3,15
491.5,60.0,18.16,50,1977,2,0,0,3,15
492.5,60.0,18.21,50,1977,2,0,0,3,15
493.5,60.0,17.91,50,1977,2,0,0,3,15
494.5,60.0,18.36,50,1977,2,0,0,3,15
495.5,60.0,19.09,50,1977,2,0,0,3,15
496.5,60.0,18.51,50,1977,2,0,0,3,15
497.5,60.0,18.79,50,1977,2,0,0,3,15
498.5,60.0,18.63,50,1977,2,0,0,3,15
499.5,60.0,18.29,50,1977,2,0,0,3,15
500.5,60.0,18.38,50,1977,2,0,0,3,15
501.5,59.0,32.77,50,1977,2,0,0,3,15
502.5,60.0,20.27,50,1977,2,0,0,3,15
503.5,60.0,18.23,50,1977,2,0,0,3,15
504.5,60.0,18.51,50,1977,2,0,0,3,15
